bibcode,mespos,nbmes,oidref,qual,upvsini,vsini,vsini_err,vsini_err_prec,vsini_prec
"1970CoKwa.189....0U",1,,11632357,D,,90.0,,32767,0
"2008AJ....135..209M",1,2,5610424,,,5.1,,32767,1
"2007A&A...463..671R",1,0,5547677,D,,243.0,,32767,0
"2013A&A...560A..29R",1,,3588849,,,104.0,6.0,0,0
"2002A&A...393..897R",2,,5547677,D,,243.0,,32767,0
"1995ApJS...99..135A",3,,5547677,D,,225.0,,32767,0
"2016MNRAS.458.2307K",1,,5547710,,,13.0,1.0,0,0
"2007A&A...462..683M",1,,3260139,,,185.0,10.0,0,0
"2018A&A...615A..76S",1,,5549426,,,3.839,0.218,3,3
"1970CoKwa.189....0U",1,,11614513,D,,100.0,,32767,0
"2006AJ....132.2135S",1,,3878786,D,,8.9,,,1
"2016A&A...592A.156D",2,,5549426,,,3.82,0.11,2,2
"2014MNRAS.444.3517M",3,,5549426,,,4.3,0.5,1,1
"2018MNRAS.477.3406B",1,,12660641,,,,,32767,32767
"2013A&A...560A..29R",3,,8622907,,,211.0,30.0,0,0
"2018MNRAS.477.3406B",1,,12660643,,,,,32767,32767
"2013A&A...560A..29R",3,,8596583,,,40.0,,,0
"2013A&A...560A..29R",2,,3112273,,,68.0,4.0,0,0
"2018MNRAS.477.3406B",1,,12660645,,,,,32767,32767
"2013A&A...560A..29R",2,,7834779,,,73.0,30.0,0,0
"2013A&A...560A..29R",1,,8620840,,,89.0,12.0,0,0
"2018MNRAS.477.3406B",1,,12660647,,,,,32767,32767
"2021MNRAS.506.4083J",1,,3131124,,,174.0,34.0,0,0
"2013A&A...560A..29R",1,,3588909,,,81.0,17.0,0,0
"2021AJ....162..182R",1,,11974567,,,2.31,1.07,2,2
"2021AJ....161..224T",1,,3056308,,,103.5,7.4,1,1
"2021AJ....161..224T",1,,4047599,,,79.0,3.4,1,1
"2021AJ....161..224T",1,,5569969,,,82.6,0.2,1,1
"2021AJ....161....2Z",1,,1192689,,,11.5,1.0,1,1
"2021AJ....161....2Z",1,,7190327,,,14.3,0.5,1,1
"1970CoKwa.189....0U",1,,5610077,D,<,50.0,,32767,0
"2017A&A...597A..22S",1,,5547719,,,51.0,,32767,0
"2013A&A...560A..29R",3,,3112279,,,119.0,30.0,0,0
"2013A&A...560A..29R",2,,3112284,,,220.0,30.0,0,0
"2017A&A...597A..22S",2,,5547719,,,52.0,,32767,0
"2013A&A...560A..29R",3,,3112287,,,159.0,20.0,0,0
"2013A&A...560A..29R",2,,8622923,,,281.0,30.0,0,0
"2002ApJ...573..359A",3,,5547719,D,,200.0,,32767,0
"2002ApJ...573..359A",4,,5547719,D,,45.0,,32767,0
"2013A&A...560A..29R",1,,3108405,,,66.0,7.0,0,0
"2013A&A...560A..29R",1,,3108482,,,77.0,11.0,0,0
"2013A&A...560A..29R",3,,3112294,,,133.0,30.0,0,0
"2014A&A...564A..39S",4,,3112295,,,145.0,,,0
"2013A&A...560A..29R",2,,8622939,,,99.0,20.0,0,0
"1970CoKwa.189....0U",5,,5547719,D,,56.0,,32767,0
"1970CoAsi.239....1B",6,30,5547719,D,,300.0,,32767,0
"2013A&A...560A..29R",2,,8622944,,,277.0,30.0,0,0
"1970CoAsi.239....1B",7,5,5547719,D,,50.0,,32767,0
"2013A&A...560A..29R",2,,3112323,,,220.0,60.0,0,0
"2015ApJ...810...30F",1,,2786299,,,3.7,1.5,1,1
"2013A&A...560A..29R",1,,3112289,,,356.0,30.0,0,0
"2014A&A...564A..39S",4,,3112326,,,75.0,,,0
"2013A&A...560A..29R",3,,3112326,,,76.0,20.0,0,0
"2014A&A...564A..39S",4,,3112324,,,40.0,,,0
"2013A&A...560A..29R",1,,3107227,,,94.0,30.0,0,0
"1970CoKwa.189....0U",1,,5610269,D,,110.0,,32767,0
"1970CoAsi.239....1B",2,11,5610269,D,,110.0,,32767,0
"2007AJ....134.1570D",1,,5549514,D,,96.0,,32767,0
"2013A&A...560A..29R",3,,3112324,,,52.0,8.0,0,0
"2014A&A...564A..39S",4,,7893656,,,40.0,,,0
"2013A&A...560A..29R",3,,7893656,,,59.0,30.0,0,0
"1970CoKwa.189....0U",3,,2716387,D,<,25.0,,,0
"2014A&A...564A..39S",4,,7893603,,,120.0,,,0
"2014A&A...564A..39S",4,,8620849,,,200.0,,,0
"2013A&A...560A..29R",3,,8620849,,,202.0,20.0,0,0
"2014A&A...564A..39S",4,,8622956,,,230.0,,,0
"2013A&A...560A..29R",3,,8622956,,,316.0,20.0,0,0
"2014A&A...564A..39S",4,,7893652,,,40.0,,,0
"2013A&A...560A..29R",3,,7893652,,,79.0,30.0,0,0
"2013A&A...560A..29R",2,,3107250,,,76.0,16.0,0,0
"2014A&A...564A..39S",4,,3112353,,,105.0,,,0
"2013A&A...560A..29R",3,,3112353,,,126.0,30.0,0,0
"2013A&A...560A..29R",3,,8620881,,,122.0,20.0,0,0
"1970CoKwa.189....0U",2,,5549514,D,,79.0,,32767,0
"2014A&A...564A..39S",2,,3107251,,,100.0,,,0
"2013A&A...560A..29R",1,,3107251,,,93.0,30.0,0,0
"2013A&A...560A..29R",2,,3112357,,,91.0,30.0,0,0
"2013A&A...560A..29R",2,,3112369,,,241.0,30.0,0,0
"2013A&A...560A..29R",2,,3112368,,,218.0,30.0,0,0
"1970CoAsi.239....1B",3,30,5549514,D,,140.0,,32767,0
"2006A&A...460..695T",1,,5610189,C,,4.5,1.2,1,1
"2013A&A...560A..29R",2,,3112386,,,194.0,30.0,0,0
"2013A&A...560A..29R",2,,3112393,,,117.0,30.0,0,0
"2013A&A...560A..29R",1,,8622973,,,200.0,30.0,0,0
"2014A&A...564A..39S",4,,7893614,,,45.0,,,0
"2013A&A...560A..29R",3,,7893614,,,47.0,20.0,0,0
"2013A&A...560A..29R",1,,8622983,,,127.0,30.0,0,0
"2013A&A...560A..29R",2,,3112399,,,230.0,30.0,0,0
"2013A&A...560A..29R",2,,3107265,,,91.0,30.0,0,0
"2013A&A...560A..29R",2,,8622977,,,260.0,20.0,0,0
"2013A&A...560A..29R",2,,7834781,,,40.0,,,0
"2013A&A...560A..29R",2,,8622760,,,63.0,8.0,0,0
"2014A&A...564A..39S",4,,7893641,,,115.0,,,0
"2013A&A...560A..29R",3,,7893641,,,113.0,20.0,0,0
"2013A&A...560A..29R",2,,4054390,,,97.0,30.0,0,0
"2014A&A...564A..39S",4,,3112423,,,210.0,,,0
"2013A&A...560A..29R",3,,3112423,,,159.0,30.0,0,0
"2019A&A...624A..19B",1,,11633400,,,7.166,1.998,3,3
"2009A&A...493.1099S",1,,13026580,D,,12.6,,32767,1
"1995ApJS...99..135A",3,,1291594,D,,115.0,,,0
"2002A&A...393..897R",2,,13026580,D,,31.0,,32767,0
"1995ApJS...99..135A",3,,13026580,D,,23.0,,32767,0
"2006A&A...460..695T",4,,5549426,C,,4.4,1.2,1,1
"2016A&A...592A.156D",1,,5620325,,,1.95,0.13,2,2
"2013A&A...560A..29R",1,,8622789,,,137.0,10.0,0,0
"2014A&A...562A.135S",4,,1012990,,,100.0,,,0
"2013A&A...560A..29R",1,,3112269,,,77.0,20.0,0,0
"2013A&A...560A..29R",1,,3111797,,,40.0,,,0
"2013A&A...560A..29R",1,,7893618,,,374.0,30.0,0,0
"2002A&A...393..897R",2,,1291594,D,,128.0,,,0
"2007A&A...463..671R",1,0,1291594,D,,128.0,,,0
"2013A&A...560A..29R",1,,3111842,,,162.0,30.0,0,0
"2009A&A...496..841H",1,,3086143,,,30.0,,,0
"2008A&A...479..541H",2,,3086143,,,30.0,,,0
"2007A&A...462..683M",1,,6268073,,,165.0,10.0,0,0
"2014A&A...562A.135S",1,,795445,,,219.0,,,0
"2014A&A...562A.135S",2,,160496,,,399.0,,,0
"2014A&A...562A.135S",1,,160496,,,379.0,,,0
"2010AJ....140.1911B",1,,285630,,,2.16,,,2
"2013A&A...560A..29R",1,,8622785,,,94.0,10.0,0,0
"2013A&A...560A..29R",1,,3588928,,,272.0,20.0,0,0
"2014A&A...562A.135S",3,,2951064,,,102.0,,,0
"2014A&A...562A.135S",4,,199154,,,34.0,,,0
"2014A&A...562A.135S",3,,199154,,,37.0,,,0
"2014A&A...562A.135S",3,,199341,,,42.0,,,0
"2013A&A...560A..29R",2,,3112275,,,367.0,20.0,0,0
"2013A&A...560A..29R",2,,3112281,,,120.0,20.0,0,0
"2013A&A...560A..29R",2,,8620845,,,334.0,18.0,0,0
"2013A&A...560A..29R",2,,8622934,,,82.0,30.0,0,0
"2013A&A...560A..29R",2,,3112321,,,76.0,6.0,0,0
"2013A&A...560A..29R",2,,7893634,,,189.0,30.0,0,0
"2014A&A...564A..39S",4,,3112337,,,55.0,,,0
"2013A&A...560A..29R",2,,7812393,,,247.0,20.0,0,0
"2013A&A...560A..29R",2,,3112347,,,79.0,20.0,0,0
"2013A&A...560A..29R",2,,7893648,,,40.0,,,0
"2013A&A...560A..29R",2,,8622960,,,122.0,30.0,0,0
"2014A&A...564A..39S",4,,7893639,,,40.0,,,0
"2013A&A...560A..29R",3,,7893639,,,40.0,,,0
"2014A&A...564A..39S",4,,3112394,,,110.0,,,0
"2013A&A...560A..29R",3,,3112394,,,113.0,30.0,0,0
"2014A&A...564A..39S",4,,3112402,,,40.0,,,0
"2013A&A...560A..29R",3,,3112402,,,40.0,,,0
"2013A&A...560A..29R",2,,3112409,,,40.0,,,0
"2013A&A...560A..29R",2,,8622980,,,180.0,30.0,0,0
"2013A&A...560A..29R",2,,3112425,,,113.0,30.0,0,0
"2014A&A...564A..39S",4,,7893607,,,210.0,,,0
"2013A&A...560A..29R",3,,7893607,,,239.0,20.0,0,0
"2013A&A...560A..29R",2,,7893650,,,95.0,20.0,0,0
"2013A&A...560A..29R",3,,3112441,,,62.0,20.0,0,0
"2013A&A...560A..29R",2,,3112444,,,55.0,20.0,0,0
"2013A&A...560A..29R",2,,3107294,,,64.0,9.0,0,0
"2014A&A...564A..39S",4,,8623017,,,40.0,,,0
"2013A&A...560A..29R",2,,3588866,,,124.0,18.0,0,0
"2013A&A...560A..29R",3,,8623017,,,40.0,,,0
"2013A&A...560A..29R",3,,8623034,,,61.0,20.0,0,0
"2014A&A...564A..39S",4,,8623043,,,405.0,,,0
"2014A&A...564A..39S",4,,3115220,,,360.0,,,0
"2013A&A...560A..29R",3,,3115220,,,314.0,30.0,0,0
"2013A&A...560A..29R",2,,8623078,,,138.0,13.0,0,0
"2013A&A...560A..29R",2,,8623095,,,138.0,20.0,0,0
"2014A&A...564A..39S",4,,7834782,,,95.0,,,0
"2013A&A...560A..29R",3,,7834782,,,96.0,12.0,0,0
"1970CoKwa.189....0U",1,,5610068,D,,25.0,,32767,0
"2017AJ....153..128C",3,,5610068,,,30.0,,,1
"1970CoAsi.239....1B",2,3,5610068,D,,25.0,,32767,0
"1970CoKwa.189....0U",1,,5610343,D,,50.0,,32767,0
"1970CoAsi.239....1B",2,5,5610343,D,,50.0,,32767,0
"1970CoAsi.239....1B",1,7,5613445,D,,68.0,,32767,0
"2011ApJ...738..122C",1,,5613668,,,33.0,2.0,0,0
"2018A&A...615A..76S",1,,5344117,,,1.933,0.231,3,3
"2013A&A...560A..29R",1,,3112288,,,103.0,20.0,0,0
